Code,Title,Question Body,Number of Answers,Maximum Score,Partial Scoring,Feedback,Grade Level,Difficulty Level,Options 1 type,Options 1 asset,Options 1 score,Options 2 type,Options 2 asset,Options 2 score,Options 3 type,Options 3 asset,Options 3 score,Options 4 type,Options 4 asset,Options 4 score,Related micro-concepts,Related micro-concepts,Related micro-concepts
q_7_s_marathi,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_8_s_marathi,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_5_s_kannada,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_6_s_kannada,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_7_s_kannada,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_8_s_kannada,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_5_s_punjabi,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_6_s_punjabi,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_7_s_punjabi,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_8_s_punjabi,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_5_s_tamil,Read the story, ,57,57,Yes,,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_6_s_tamil,Read the story,,62,62,Yes,,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_7_s_tamil,Read the story,,49,49,Yes,,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_8_s_tamil,Read the story,,55,55,Yes,,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_5_s_telugu,Read the story,,54,54,yes,,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_6_s_telugu,Read the story,,59,59,yes,,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_7_s_telugu,Read the story,,58,58,yes,,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_8_s_telugu,Read the story,,68,68,yes,,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_5_s_bengali,Read the story,Œæ,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_6_s_bengali,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_7_s_bengali,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_8_s_bengali,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_5_s_gujarati,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_6_s_gujarati,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_7_s_gujarati,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_8_s_gujarati,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_5_s_malayalam,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_6_s_malayalam,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_7_s_malayalam,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_8_s_malayalam,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_5_s_oriya,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_6_s_oriya,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_7_s_oriya,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_8_s_oriya,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_5_s_urdu,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_6_s_urdu,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_7_s_urdu,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_8_s_urdu,Read the story,,,1,,,,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_1_English,Read the paragraph,"Ravi is a boy.
He has many friends.
He loves to draw.
He does not like to sing.
",18,18,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_2_English,Read the paragraph,"My village is very big.
It has many houses.
It also has a shop.
The bus stops in my village.
",20,20,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_1_English,Read the paragraph,"Rani likes her school.
Her class is in a big room.
Rani has a bag and a book.
She also has a pen.
",22,22,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_2_English,Read the paragraph,"Raju is six years old.
He loves to study.
He also likes to play.
Raju goes to school everyday.
",19,19,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_1_English,Read the paragraph,"Amar goes to the market.
It is very far away.
He takes the bus.
The bus takes four hours.
",19,19,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_2_English,Read the paragraph,"In front of my house is a hill.
It has a forest.
We play on the hill.
We hide behind the trees.
",22,22,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_1_English,Read the paragraph,"This is a big monkey.
He lives on a tree.
He likes to jump.
He also likes bananas.
",18,18,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_2_English,Read the paragraph,"I have a small dog.
He likes to run a lot.
Sometimes when we go out,
he runs far away from me.
",22,22,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_1_hindi,Read the paragraph,ö_åö«_ö«óö__ö«ˆ ö_¬ö«ˆö_‰ ö_ö_´ ö_Èö«ˆö«ì ö__ö«šö«_ö_Èö«ˆö«ì ö_Èö_Á ö_ö_´ ö__ö«†ö__ö__ ö_Áö__ö__ö__ ö__ö«šö«_ö__ö«†ö__ö«ˆ ö_´ö__ ö_Áö_‰ö_„ ö__ö_Áö__ ö__ö«šö«_ö_µö__ ö__ö__ö__ ö_ôö_¬ö__ö_ôö_Á ö__ö__ö__ö__ ö__ö«šö«_,21,21,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_2_hindi,Read the paragraph,ö_Âö«óö__ö«‰ ö_´ö«ˆ ö_Öö_Á ö_¬ö«ˆö_‰ ö_„ö__ö_¿ ö__ö«šö«_ö_Šö_Ÿö_´ö__ ö_Áö_‰ö_„ ö_Ÿö_‚ö«ˆö__ ö__ö«šö«_ö_„ö__ö_¿ ö__ö_Áö«ó ö_Öö__ö_Ÿ ö__ö__ö__ö«ó ö__ö«šö«_ö_µö__ ö_åö__ö«ö__ ö__ö«‰ö__ ö__ö«ˆö__ö«ó ö__ö«šö«_,20,20,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_1_hindi,Read the paragraph,ö_Áö__ö__ ö__ö«† ö_„ö_š ö__ö«šö«_ö__ö__ö_ö__ ö__ö_Ëö__ ö_Áö__ö__ ö__ö«šö«_ö__ö__ö_Áö«ˆ ö__ö«ó ö__ö_¬ö_´ ö_Áö__ö«ˆ ö__ö«šö_‰ö«_ö_Ÿö_å ö__ö«†ö_„ ö_Ÿö«† ö_„ö_ ö__ö«šö_‰ö«_,18,18,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_2_hindi,Read the paragraph,ö_´ö__ö__ö«ˆ ö_åö__ö__ö__ ö__ö__ö_ ö__ö«šö_‰ö«_ö__ö«ˆö«_ ö_åö__ö_Áö_Ëö__ ö__ö«† ö_Áö__ö«ó ö__ö«šö«_ö_¬ö«†ö_Á ö__ö«ó ö_Âö__ö__ ö_Áö__ö__ ö__ö«šö«_ö_Ÿö_å ö_Âö__ö__ ö__ö«ˆö__ ö_Áö__ö«ˆ ö__ö«šö_‰ö«_,19,19,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_1_hindi,Read the paragraph,ö_Áö«‰ö_Èö__ ö_åö__ö__ö_Á ö__ö«ˆö__ ö_Áö__ö«ó ö_«ö«óö«_ö__ö«ˆö__ö__ö«ˆ-ö__ö«ˆö__ö__ö«ˆ ö_Áö__ö__ ö__ö«† ö_„ö_šö«_ö_Áö«‰ö_Èö__ ö_ƒö_Èö_Âö«ˆ ö_Öö_Á ö__ö__ö«ó ö_„ö_šö«_ö_µö__ ö__ö__ö_Âö__ ö__ö__ö_´ö_Á ö_Ÿö«† ö_„ö_šö«_,20,20,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_2_hindi,Read the paragraph,ö_Êö_ì ö_¬ö__ö_¬ö__ ö_Êö_ ö__ö«šö_‰ö«_ö_¬ö_Ëö_æö__ö_š ö_Ÿö__ö_« ö__ö__ö_ ö__ö«šö_‰ö«_ö__ö_¬ ö_Ÿö_å ö_¬ö_Ëö_æö__ö_š ö__ö__ö_ö_‰ö_„ö«ˆö«_ö_‚ö_Ëö_Á ö_¬ö__ö_¬ö__ ö_Ÿö«ˆ ö_´ö__ö__ö_Âö«ó ö_Ÿö«ö_Âö«ˆö_‰ö_„ö«ˆö«_,17,17,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_1_hindi,Read the paragraph,ö__ö_Á ö_Áö_µö_Ëö_µö__ö_Á ö_Âö__ö_Âö«ó ö_Öö_Á ö_Êö__ö«ó ö__ö«šö«_ö__ö_¬ö__ö_Áö«ˆ ö__ö_Ëö_ ö_¬ö_Ëö_æö__ö_š ö__ö__ö__ö«ó ö__ö«šö«_ö_¬ö«šö_‰ ö_Âö__ö_Âö«ó ö_´ö«ˆ ö_Ÿö__ö_« ö_Ÿö«†ö__ö__ ö__ö«‰ö_ö«_ö_µö__ ö_¬ö«ö_ö«ˆ ö_´ö__ö__ö_Âö«ó ö_Ÿö«ö_Âö__ö__ö«ó ö__ö«šö«_,22,22,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_2_hindi,Read the paragraph,ö_¬ö«ˆö_Áö«ˆ ö__ö__ö__ö__ ö_´ö«ó ö__ö__ö__ö«ó ö__ö«šö«_ö_Ÿö_åö_´ö«ˆ ö_Âö_ ö_´ö_Èö«ìö«ˆ ö_åö_Âö«ˆ ö__ö«šö_‰ö«_ö_åö__ö«ö__ ö_¬ö«ˆö__ö_¬ö__ö_Â ö_Ê ö_Áö__ö«ˆ ö__ö«šö_‰ö«_ö_Öö_Á ö_¬ö«ˆö_‰ ö__ö«‰ö_¬-ö__ö__ö_¬ ö__ö«šö«_,20,20,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_1_marathi,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_2_marathi,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_1_marathi,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_2_marathi,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_1_marathi,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_2_marathi,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_1_marathi,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_2_marathi,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_1_kannada,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_2_kannada,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_1_kannada,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_2_kannada,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_1_kannada,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_2_kannada,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_1_kannada,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_2_kannada,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_1_punjabi,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_2_punjabi,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_1_punjabi,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_2_punjabi,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_1_punjabi,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_2_punjabi,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_1_punjabi,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_2_punjabi,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_1_tamil,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_2_tamil,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_1_tamil,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_2_tamil,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_1_tamil,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_2_tamil,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_1_tamil,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_2_tamil,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_1_telugu,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_2_telugu,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_1_telugu,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_2_telugu,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_1_telugu,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_2_telugu,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_1_telugu,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
