,,,,,,,,,,,,,,,,,,,,Options,,,,,,,,,,,,,,,,,,,,,
,Code,Title,,,,,,,,,Number of Answers,Maximum Score,Partial Scoring,Feedback,Grade Level,Difficulty Level,,,,Options 1 type,Options 1 asset,Options 1 answer,Options 1 score,Options 2 type,Options 2 asset,Options 2 answer,Options 2 score,Options 3 type,Options 3 asset,Options 3 answer,Options 3 score,Options 4 type,Options 4 asset,Options 4 answer,Options 4 score,,,,Related micro-concepts,Related micro-concepts,Related micro-concepts
,Unique code for the question,Title for the assessment item,Question Body 1,,Question Body 2,,Question Body 3,,Question Body 3,,How many answers are there?,How many marks can be allotted?,Partial scoring is allowed?,Feedback to show if the item is answered incorrectly,Grade level,How difficult is the question? SN,How difficult is the question? ekstep,How difficult is the question? From Analysis,,"Options for the MCQ questions. Each option has 
- a type (image, text or audio)
- asset (asset id for image & audio, and the textual content for text type)
- answer (yes/no)
- the score to be allotted if the option is matched correctly",,,,,,,,,,,,,,,,Remarks,,,This method is related to which micro-concept,Other related micro-concept (if more than one),Other related micro-concept (if more than one)
,,,Type,Asset,Type,Asset,Type,Asset,Type,Asset,,,,,,,,,,,,,,,,,,,,,,,,,,Kannada,Transliteration,,,,
1,LT1. P1,Chili Pili,audio,LT1.P01.wav,,,,,,,1,1,No,No,,,Medium,,,image,LT1.P01a.png,Chappal,1,image,LT1.P01b.png,Shoe,0,image,LT1.P01c.png,Specs,0,image,LT1.P01d.png,Hat,0,à__à_ªà__à_çà__à_¿,chappali,,LO1 - Vocabulary - Receptive Vocabulary,,
2,LT1.P2,Chili Pili,audio,LT1.P02.wav,,,,,,,1,1,No,No,,,Low,,,image,LT1.P02a.png,Tortoise,1,image,LT1.P02b.png,Squirell,0,image,LT1.P02c.png,Bug,0,image,LT1.P02d.png,Tiger,0,à_†à_®à_†,Ame,,LO1 - Vocabulary - Receptive Vocabulary,,
3,LT1. P2,Chili Pili,audio,LT1.P03.wav,,,,,,,1,1,No,No,,,Medium,,,image,LT1.P03a.png,Chair,1,image,LT1.P03b.png,Lock and key,0,image,LT1.P03c.png,Brief case,0,image,LT1.P03d.png,Car,0,à_ªà_€à_Ÿà_‹à_ªà_•à_°à_¨,pITOpakarana,,LO1 - Vocabulary - Receptive Vocabulary,,
4,LT1.Q1,Chili Pili,audio,LT1.T01.wav,,,,,,,1,1,No,No,,Low,Low,,,image,LT1.T01a.png,Scissors,1,image,LT1.T01b.png,Knife,0,image,LT1.T01c.png,Nail,0,image,LT1.T01d.png,Hammer,0,à_•à__à_çà__à_°à_¿à_¸à_¿,kattarisi,,LO1 - Vocabulary - Receptive Vocabulary,,
5,LT1.Q2,Chili Pili,audio,LT1.T02.wav,,,,,,,1,1,No,No,,Low,Low,,,image,LT1.T02a.png,Writing,1,image,LT1.T02b.png,Reading,0,image,LT1.T02c.jpg,Teing rope to a banana tree,0,image,LT1.T02d.png,A boy running,0,à_¬à_°à_†à_¯à_Åà_µà_Åà__à_Å,bareyuvudu,,LO1 - Vocabulary - Receptive Vocabulary,,
6,LT1.Q3,Chili Pili,audio,LT1.T03.wav,,,,,,,1,1,No,No,,Low,High,,,image,LT1.T03a.jpg,Ox,1,image,LT1.T03b.jpg,Flag,0,image,LT1.T03c.png,Cat,0,image,LT1.T03d.png,Parrot,0,à_¬à__à_¶à__à__à_¿,balashAli,,LO1 - Vocabulary - Receptive Vocabulary,,
